Name,BSE Code,NSE Code,ISIN Code,Industry Group
Newgen Software,540900,NEWGEN,INE619B01017,IT - Software
NHPC Ltd,533098,NHPC,INE848E01016,Power
Nippon Life Ind.,540767,NAM-INDIA,INE298J01013,Capital Markets
Niva Bupa Health,544286,NIVABUPA,INE995S01015,Insurance
NLC India,513683,NLCINDIA,INE589A01014,Power
NMDC,526371,NMDC,INE584A01023,Minerals & Mining
NMDC Steel,543768,NSLNISP,INE0NNS01018,Ferrous Metals
NTPC,532555,NTPC,INE733E01010,Power
NTPC Green Ene.,544289,NTPCGREEN,INE0ONG01011,Power
Nuvama Wealth,543988,NUVAMA,INE531F01023,Capital Markets
Nuvoco Vistas,543334,NUVOCO,INE118D01016,Cement & Cement Products
O N G C,500312,ONGC,INE213A01029,Oil
Oberoi Realty,533273,OBEROIRLTY,INE093I01010,Realty
Oil India,533106,OIL,INE274J01014,Oil
Ola Electric,544225,OLAELEC,INE0LXG01040,Automobiles
Olectra Greentec,532439,OLECTRA,INE260D01016,Automobiles
One 97,543396,PAYTM,INE982J01020,Financial Technology (Fintech)
OneSource Speci.,544292,ONESOURCE,INE013P01021,Pharmaceuticals & Biotechnology
Oracle Fin.Serv.,532466,OFSS,INE881D01027,IT - Software
P I Industries,523642,PIIND,INE603J01030,Fertilizers & Agrochemicals
Page Industries,532827,PAGEIND,INE761H01022,Textiles & Apparels
Paradeep Phosph.,543530,PARADEEP,INE088F01024,Fertilizers & Agrochemicals
Patanjali Foods,500368,PATANJALI,INE619A01035,Agricultural Food & other Products
PB Fintech.,543390,POLICYBZR,INE417T01026,Financial Technology (Fintech)
PCBL Chemical,506590,PCBL,INE602A01031,Chemicals & Petrochemicals
Persistent Systems,533179,PERSISTENT,INE262H01021,IT - Software
Petronet LNG,532522,PETRONET,INE347G01014,Gas
Pfizer,500680,PFIZER,INE182A01018,Pharmaceuticals & Biotechnology
PG Electroplast,533581,PGEL,INE457L01029,Consumer Durables
Phoenix Mills,503100,PHOENIXLTD,INE211B01039,Realty
Physicswallah,544609,PWL,INE0LP301011,Other Consumer Services
Pidilite Inds.,500331,PIDILITIND,INE318A01026,Chemicals & Petrochemicals
Pine Labs,544606,PINELABS,INE15B701018,Financial Technology (Fintech)
Piramal Finance.,544597,PIRAMALFIN,INE202B01038,Finance
Piramal Pharma,543635,PPLPHARMA,INE0DK501011,Pharmaceuticals & Biotechnology
PNB Housing,540173,PNBHOUSING,INE572E01012,Finance
Poly Medicure,531768,POLYMED,INE205C01021,Healthcare Equipment & Supplies
Polycab India,542652,POLYCAB,INE455K01017,Industrial Products
Poonawalla Fin,524000,POONAWALLA,INE511C01022,Finance
Power Fin.Corpn.,532810,PFC,INE134E01011,Finance
Power Grid Corpn,532898,POWERGRID,INE752E01010,Power
Premier Energies,544238,PREMIERENE,INE0BS701011,Electrical Equipment
Prestige Estates,533274,PRESTIGE,INE811K01011,Realty
Prime Focus,532748,PFOCUS,INE367G01038,Entertainment
PTC Industries,539006,PTCIL,INE596F01018,Industrial Products
Punjab Natl.Bank,532461,PNB,INE160A01022,Banks
PVR Inox,532689,PVRINOX,INE191H01014,Entertainment
R R Kabel,543981,RRKABEL,INE777K01022,Industrial Products
Radico Khaitan,532497,RADICO,INE944F01028,Beverages
Rail Vikas,542649,RVNL,INE415G01027,Construction
Railtel Corpn.,543265,RAILTEL,INE0DD101019,Telecom - Services
Rainbow Child.,543524,RAINBOW,INE961O01016,Healthcare Services
Ramkrishna Forg.,532527,RKFORGE,INE399G01023,Auto Components
RBL Bank,540065,RBLBANK,INE976G01028,Banks
REC Ltd,532955,RECLTD,INE020B01018,Finance
Redington,532805,REDINGTON,INE891D01026,Commercial Services & Supplies
Reliance Industries,500325,RELIANCE,INE002A01018,Petroleum Products
Reliance Power,532939,RPOWER,INE614G01033,Power
RHI Magnesita,534076,RHIM,INE743M01012,Industrial Products
Rites,541556,RITES,INE320J01015,Construction
S A I L,500113,SAIL,INE114A01011,Ferrous Metals
S C I,523598,SCI,INE109A01011,Transport Services
Sagility,544282,SAGILITY,INE0W2G01015,IT - Services
Sai Life,544306,SAILIFE,INE570L01029,Pharmaceuticals & Biotechnology
Sammaan Capital,535789,SAMMAANCAP,INE148I01020,Finance
Samvardh. Mothe.,517334,MOTHERSON,INE775A01035,Auto Components
